admission_quiz,birthday,CountryISO2,created_at,email,gender,first_name,last_name,highest_degree_earned,data
completed,2004-03-26,ET,2022-05-19 09:01:00,ms001@gmail.com,female,Monsurat,Campbell,Masters,
not completed,1995-03-21,CA,2025-04-19 09:13:16,rriddle@gmail.com,female,Karen,Guzman,PhD,
not completed,2001-07-04,ET,2025-02-28 14:08:14,nnash@herman.com,female,Angela,Griffin,Bachelors,
not completed,2004-06-02,PK,2024-12-22 00:56:20,david47@rios.info,male,Jeremy,Young,Bachelors,
not completed,2006-01-29,CA,2024-07-06 10:24:05,tgriffin@hotmail.com,female,Laurie,Washington,PhD,
not completed,2005-11-20,ET,2024-08-10 15:29:49,stephen15@yahoo.com,female,Denise,Adams,Bachelors,
not completed,2005-03-30,ET,2023-05-19 18:44:25,brandy85@gonzales.org,female,Cindy,Watkins,PhD,
completed,1998-10-26,CA,2024-06-24 05:24:33,agibson@gmail.com,male,Matthew,Mccormick,Masters,
not completed,1999-04-21,ET,2024-11-28 23:35:19,rebecca00@yahoo.com,male,Philip,Scott,Masters,
not completed,1997-11-03,PK,2025-01-28 02:25:36,mackjohn@mcdowell.com,male,Matthew,Cox,Bachelors,
completed,1994-10-12,CA,2024-07-25 18:08:47,hamiltonanthony@cole.com,male,Andrew,Estes,PhD,
not completed,2000-08-27,ZA,2025-04-09 12:12:05,laura59@gmail.com,female,Paula,Howe,Bachelors,
not completed,1997-02-28,NG,2023-11-28 15:31:49,lawrencepreston@smith-marquez.org,female,Tamara,Rocha,Masters,
not completed,2004-11-07,KE,2023-11-10 16:58:11,martinezphilip@gmail.com,male,Derek,Reed,PhD,
completed,1997-12-07,GH,2025-01-21 17:41:22,josephjones@watkins.info,female,Krista,Parker,Bachelors,
not completed,2002-01-16,KE,2024-02-09 00:03:05,zacharywilliams@vasquez-lopez.com,male,Ronald,Mcdonald,Bachelors,
not completed,1995-05-15,PK,2025-04-13 08:44:39,bwhite@clark-ryan.biz,female,Alexandra,Perez,PhD,
completed,2003-08-21,PK,2024-07-01 07:11:18,davidwells@hotmail.com,female,Mackenzie,Huynh,PhD,
not completed,1998-09-14,KE,2024-05-18 16:41:12,johnsonkelly@hotmail.com,male,David,Edwards,PhD,
completed,2002-05-02,US,2025-05-08 15:00:17,yalexander@cherry.net,male,Christopher,Ferguson,PhD,
not completed,1998-01-21,ZA,2024-01-08 16:47:42,brandi77@hotmail.com,female,Amanda,Perry,Masters,
not completed,2000-12-02,NG,2024-01-02 13:35:50,lewismichael@collins-larson.com,male,Ryan,Miller,Masters,
completed,1995-03-21,CA,2024-04-18 09:35:24,toddsherman@miles-lopez.com,female,Kim,Moore,Masters,
completed,2007-04-04,ZA,2025-04-05 00:18:13,tiffany04@gmail.com,male,Jeremy,Russell,PhD,
not completed,2002-07-12,US,2024-10-20 06:26:24,ibrewer@hotmail.com,male,Andre,Miller,Masters,
not completed,1995-09-26,KE,2024-01-10 10:37:52,tcunningham@gmail.com,male,Brandon,Williams,Bachelors,
completed,2000-10-30,DE,2024-08-23 22:57:19,fowlertammy@hotmail.com,female,Ana,Andrews,Bachelors,
completed,1995-02-26,US,2024-12-27 16:27:29,annebrown@hotmail.com,female,Leslie,Webb,Bachelors,
completed,1997-02-01,DE,2025-01-20 08:59:40,daniel38@hotmail.com,female,Alexandra,Nguyen,Bachelors,
completed,1998-10-27,GH,2023-09-09 22:08:48,kevinburke@arellano.com,male,Kevin,Nixon,Bachelors,
completed,2004-06-09,KE,2025-04-25 03:01:01,henryjorge@rodriguez.com,female,Candice,Arnold,Bachelors,
completed,2001-01-22,ZA,2025-01-07 10:55:01,henrydonna@smith-fischer.com,female,Sarah,Scott,Masters,
completed,2005-04-17,ZA,2024-03-23 12:36:20,kempyolanda@campbell.info,female,Kaylee,Good,Masters,
not completed,2005-04-06,GH,2024-11-26 07:04:17,amyolsen@lopez.com,female,Nancy,Peterson,Masters,
completed,2005-08-26,ZA,2024-10-27 10:45:18,christopherlopez@gmail.com,male,Anthony,Scott,PhD,
completed,2002-09-26,CA,2023-09-20 13:11:47,nathaniel73@cox-adams.info,male,Gregory,Glover,Masters,
not completed,2001-08-17,KE,2024-08-01 11:24:28,ubrown@gmail.com,male,Joshua,Fernandez,Bachelors,
completed,2001-06-02,ZA,2024-05-09 19:31:35,barrettsarah@yahoo.com,female,Kayla,Clarke,Masters,
